PR001,2024-10-26 10:45:09,SM003,ITM001,10,Approved,2024-10-28 11:12:07,PM001
PR002,2024-12-16 17:38:05,SM001,ITM011,5,Approved,2024-12-16 17:41:35,PM001
PR003,2024-12-16 17:39:50,SM001,ITM008,20,Approved,2024-12-16 18:16:19,PM001
PR004,2024-12-16 17:41:20,SM002,ITM005,7,Approved,2024-12-16 18:16:19,PM001
PR005,2024-12-16 17:55:48,SM001,ITM011,1,Approved,2024-12-16 17:56:19,PM001
PR006,2024-12-16 18:15:47,SM001,ITM014,12,Approved,2024-12-16 18:16:19,PM001
PR007,2024-12-16 18:15:53,SM001,ITM031,31,Approved,2024-12-16 18:16:19,PM001
PR008,2024-12-16 18:21:25,PM001,ITM013,1,Pending,Pending,Pending
PR009,2024-12-16 18:21:39,PM001,ITM011,2,Approved,2024-12-16 18:20:58,PM001
PR010,2024-12-16 18:22:33,PM001,ITM016,2,Approved,2024-12-16 18:20:58,PM001
