PH001,PO001,2024-12-17 09:10:22,120.5
PH002,PO002,2024-12-17 11:25:18,75.3
PH003,PO003,2024-12-18 08:50:44,60.0
PH004,PO004,2024-12-19 15:45:29,85.4
PH005,PO005,2024-12-19 17:20:55,47.6
PH006,PO006,2024-12-20 10:05:37,250.0
PH007,PO007,2024-12-21 12:30:01,123.0
PH008,PO008,2024-12-22 14:15:19,98.7
PH009,PO009,2024-12-23 09:40:04,149.9
PH010,PO010,2024-12-24 11:05:44,52.4
PH011,PO003,2024-12-16 17:58:26,58.3
PH012,PO003,2024-12-16 17:58:56,58.3
PH013,PO003,2024-12-16 17:59:08,58.3
PH014,PO003,2024-12-16 17:59:28,58.3
PH015,PO001,2024-12-16 18:02:05,42.4
PH016,PO002,2024-12-16 18:09:53,291.5
PH017,PO007,2024-12-16 18:17:26,32.86
PH018,PO004,2024-12-16 18:20:27,14.84
