R0000001,SM001,2024-10-25 09:45:22,ITM003,3.5,5,17.5,27.5
R0000001,SM001,2024-10-25 09:45:22,ITM001,2.5,4,10.0,27.5
R0000002,SM001,2024-10-25 12:34:56,ITM005,10.0,2,20.0,49.0
R0000002,SM001,2024-10-25 12:34:56,ITM002,5.0,1,5.0,49.0
R0000002,SM001,2024-10-25 12:34:56,ITM008,4.0,6,24.0,49.0
R0000003,SM001,2024-10-26 08:27:50,ITM007,6.0,3,18.0,28.5
R0000003,SM001,2024-10-26 08:27:50,ITM003,3.5,3,10.5,28.5
R0000004,SM001,2024-10-26 09:45:22,ITM004,12.0,1,12.0,31.0
R0000004,SM001,2024-10-26 09:45:22,ITM009,9.5,2,19.0,31.0
R0000005,SM001,2024-10-26 12:34:56,ITM006,8.0,4,32.0,40.5
R0000005,SM001,2024-10-26 12:34:56,ITM002,5.0,1,5.0,40.5
R0000005,SM001,2024-10-26 12:34:56,ITM011,3.5,1,3.5,40.5
R0000006,SM001,2024-10-26 19:14:05,ITM014,13.0,2,26.0,26.0
R0000007,SM001,2024-10-26 19:14:05,ITM008,4.0,3,12.0,24.5
R0000007,SM001,2024-10-26 19:14:05,ITM012,12.5,1,12.5,24.5
R0000008,SM069,2024-11-06 14:35:14,ITM006,80.0,3,240.0,600.0
R0000008,SM069,2024-11-06 14:35:14,ITM007,120.0,3,360.0,600.0
R0000009,SM069,2024-11-06 14:38:52,ITM006,80.0,3,240.0,300.0
R0000009,SM069,2024-11-06 14:38:52,ITM027,20.0,3,60.0,300.0
R0000010,SM069,2024-11-06 14:44:03,ITM004,12.0,3,36.0,536.0
R0000010,SM069,2024-11-06 14:44:03,ITM011,55.0,5,275.0,536.0
R0000010,SM069,2024-11-06 14:44:03,ITM012,45.0,5,225.0,536.0
R0000011,SM069,2024-11-06 14:45:55,ITM006,80.0,3,240.0,400.0
R0000011,SM069,2024-11-06 14:45:55,ITM010,40.0,4,160.0,400.0
R0000012,SM069,2024-11-06 14:46:06,ITM005,34.0,5,170.0,350.0
R0000012,SM069,2024-11-06 14:46:06,ITM015,60.0,3,180.0,350.0
R0000013,SM069,2024-11-06 14:47:26,ITM005,34.0,2,68.0,68.0
R0000014,SM069,2024-11-06 15:10:47,ITM001,5.6,5,28.0,28.0
R0000015,SM069,2024-11-06 15:16:58,ITM001,5.6,2,11.2,11.2
R0000016,SM069,2024-11-06 15:19:18,ITM001,5.6,4,22.4,39.9
R0000016,SM069,2024-11-06 15:19:18,ITM003,3.5,5,17.5,39.9
R0000017,SM001,2024-11-08 13:32:03,ITM008,25.0,5,125.0,125.0
R0000018,SM002,2024-11-11 13:59:55,ITM007,120.0,3,360.0,360.0
R0000019,SM002,2024-11-11 14:00:01,ITM011,55.0,3,165.0,165.0
R0000020,SM001,2024-11-11 15:32:16,ITM009,75.0,1,75.0,75.0
R0000021,SM001,2024-12-07 10:47:49,ITM001,5.6,3,16.8,16.8
R0000022,SM002,2024-12-15 20:51:39,ITM004,12.0,2,24.0,664.0
R0000022,SM002,2024-12-15 20:51:39,ITM006,80.0,8,640.0,664.0
R0000023,SM002,2024-12-16 13:48:05,ITM009,75.0,3,225.0,249.0
R0000023,SM002,2024-12-16 13:48:05,ITM004,12.0,2,24.0,249.0
